MsgID.STATE,1520866747.2756999,False,False
MsgID.LOCAL_POSITION,1520866764.4216261,0.0008503,0.0560446,-0.0894997
MsgID.LOCAL_VELOCITY,1520866764.4216261,0.0000206,-0.0000316,0.0000164
MsgID.STATE,1520866764.4221261,True,True
MsgID.GLOBAL_HOME,1520866764.4221261,-122.3974500,37.7924800,0.0000000
MsgID.LOCAL_POSITION,1520866764.4221261,-0.0249342,0.0663122,-0.0555892
MsgID.LOCAL_VELOCITY,1520866764.4221261,0.0000034,-0.0000065,0.0000058
MsgID.GLOBAL_POSITION,1520866764.4221261,-122.3974492,37.7924797,0.0550000
MsgID.LOCAL_VELOCITY,1520866764.4221261,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1520866764.4226267,-0.1328494,-0.0143622,-0.0237609
MsgID.LOCAL_VELOCITY,1520866764.4226267,0.0000087,-0.0000229,0.0000126
MsgID.GLOBAL_POSITION,1520866764.4226267,-122.3974501,37.7924788,0.0230000
MsgID.LOCAL_VELOCITY,1520866764.4226267,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1520866764.4231267,0.0408002,0.0201458,0.0124031
MsgID.LOCAL_VELOCITY,1520866764.4231267,0.0000352,-0.0000019,0.0000140
MsgID.GLOBAL_POSITION,1520866764.4231267,-122.3974497,37.7924803,-0.0120000
MsgID.LOCAL_VELOCITY,1520866764.4231267,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1520866764.4236295,0.1220814,0.0238428,0.0398454
MsgID.LOCAL_VELOCITY,1520866764.4236295,-0.0000165,0.0000108,-0.0000052
MsgID.GLOBAL_POSITION,1520866764.4246302,-122.3974497,37.7924810,-0.0390000
MsgID.LOCAL_VELOCITY,1520866764.4246302,0.0000000,0.0000000,0.0000000
MsgID.STATE,1520866764.4251280,True,True
MsgID.GLOBAL_HOME,1520866764.4251280,-122.3974500,37.7924800,0.0000000
MsgID.LOCAL_POSITION,1520866764.4251280,0.0033694,-0.0153792,0.0617530
MsgID.LOCAL_VELOCITY,1520866764.4251280,-0.0000569,-0.0000826,0.0000094
MsgID.GLOBAL_POSITION,1520866764.4256282,-122.3974501,37.7924800,-0.0610000
MsgID.LOCAL_VELOCITY,1520866764.4256282,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1520866764.4256282,0.0011428,-0.0144427,0.0674576
MsgID.LOCAL_VELOCITY,1520866764.4256282,0.0011077,0.0007717,-0.0395938
MsgID.GLOBAL_POSITION,1520866764.4256282,-122.3974501,37.7924800,-0.0670000
MsgID.LOCAL_VELOCITY,1520866764.4256282,0.0000000,0.0000000,-0.0300000
MsgID.LOCAL_POSITION,1520866764.4261284,-0.0325998,-0.0140595,0.0574259
MsgID.LOCAL_VELOCITY,1520866764.4261284,0.0024587,0.0008912,-0.0140203
MsgID.GLOBAL_POSITION,1520866764.4271297,-122.3974501,37.7924797,-0.0570000
MsgID.LOCAL_VELOCITY,1520866764.4271297,0.0000000,0.0000000,-0.0100000
MsgID.GLOBAL_POSITION,1520866764.4286304,-122.3974501,37.7924796,-0.0490000
MsgID.LOCAL_VELOCITY,1520866764.4286304,0.0000000,0.0000000,-0.0100000
MsgID.LOCAL_POSITION,1520866764.4296308,-0.0408929,-0.0137910,0.0493488
MsgID.LOCAL_VELOCITY,1520866764.4296308,-0.0017630,-0.0011708,-0.0153826
MsgID.STATE,1520866764.4316323,True,True
MsgID.GLOBAL_HOME,1520866764.4326327,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,1520866764.4326327,-122.3974501,37.7924800,-0.0220000
MsgID.LOCAL_VELOCITY,1520866764.4326327,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1520866764.4331334,0.0009396,-0.0140700,0.0226009
MsgID.LOCAL_VELOCITY,1520866764.4331334,0.0000126,0.0000102,0.0000012
MsgID.GLOBAL_POSITION,1520866764.4336338,-122.3974500,37.7924800,0.0050000
MsgID.LOCAL_VELOCITY,1520866764.4336338,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1520866764.4336338,0.0012118,-0.0057592,-0.0050916
MsgID.LOCAL_VELOCITY,1520866764.4336338,-0.0000127,0.0000062,0.0000018
MsgID.LOCAL_POSITION,1520866764.4336338,0.0015200,0.0026906,-0.0355796
MsgID.LOCAL_VELOCITY,1520866764.4336338,0.0000170,0.0000096,0.0000116
MsgID.GLOBAL_POSITION,1520866764.4341350,-122.3974499,37.7924800,0.0350000
MsgID.LOCAL_VELOCITY,1520866764.4341350,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1520866764.4341350,0.0012147,-0.1590134,-0.0572110
MsgID.LOCAL_VELOCITY,1520866764.4341350,0.0000064,-0.0000272,0.0000145
MsgID.GLOBAL_POSITION,1520866764.4341350,-122.3974517,37.7924800,0.0570000
